# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260102
# Date de fin : 20260129
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/439-panneaux,133,56,2.375,58,294,0,0
/kits-complets-portails-telescopiques/5514-kit-pour-portail-coulissant-telescopique-ouverture-max-4-metres-de-passage-roue-gorge-en-v-o90mm-8016504107413.html,132,111,1.1891891891891893,32.93693693693694,630,0,0
/246-pivots-pour-portails-en-pente,131,80,1.6375,36.4,379,0,0
/384-poulies-et-roulettes-en-acier-ou-nylon,130,69,1.8840579710144927,31.942028985507246,337,0,0
/serie-200-sans-rail-telescopique-ouverture-8m/4464-systeme-exclusif-fac-portail-autoportant-sans-rail-telescopique-ouverture-jusqu-a-8m-8016504099121.html,128,98,1.3061224489795917,56.204081632653065,616,0,0
/267-serrures-type-industriel,124,76,1.631578947368421,34.921052631578945,356,0,0
/gaches-electriques/4497-gache-electrique-a-emission-locinox-reversible-12vcc12vca-pour-tube-de-50mm-5414768002766.html,124,72,1.7222222222222223,58.958333333333336,592,0,0
/68-portails-telescopiques,123,76,1.618421052631579,39.10526315789474,309,0,0
/440-accessoires-en-pieces-detachees-radius,121,41,2.951219512195122,83.51219512195122,278,0,0
/serrures-economiques/254-serrure-a-larder-pour-portail-et-portillon-pour-tube-40x40mm-avec-gache-cylindre-3-cles-rosace-rosette-de-proprete-8016504050054.html,121,84,1.4404761904761905,73.78571428571429,600,0,0
/gaches-electriques/3748-gache-electrique-locinox-modulec-en-applique-a-emission-couleur-aluminium-5414768048580.html,118,69,1.710144927536232,69.2463768115942,567,0,0
/45-plaques-de-guidage-superieur,117,51,2.2941176470588234,57.1764705882353,276,0,0
/53-accessoires-locinox,117,66,1.7727272727272727,35.86363636363637,292,0,0
/adresse,116,100,1.16,53.2,502,0,0
/rails-galvanises-pour-portes-suspendues/4368-rail-galvanise-pour-porte-coulissante-suspendue-3m-33x31mm-8016504028701.html,116,83,1.3975903614457832,55.78313253012048,590,0,0
/413-serrures-pour-portillons-de-jardin,115,73,1.5753424657534247,24.26027397260274,333,0,0
/portails-sectionnels-coulissants-optimus-panneaux-accessoires/5834-portail-coulissant-a-angle-a-partir-de-90-passage-de-350m-hauteur-180m-ouverture-a-gauche.html,115,87,1.3218390804597702,49.367816091954026,523,0,0
/214-gaches-locinox-portail-pivotant,114,53,2.150943396226415,46.301886792452834,279,0,0
/accessoires-en-pieces-detachees-radius/5578-rail-o16mm-courbe-cintre-rayon-50cm-pour-portail-coulissant-sectionnel-articule-systeme-radius.html,114,78,1.4615384615384615,54.256410256410255,523,0,0
/nous-contacter,113,67,1.6865671641791045,61.492537313432834,277,0,0
/gaches-electriques/3746-gache-electrique-locinox-modulec-en-applique-a-rupture-couleur-noire-5414768053928.html,112,65,1.7230769230769232,60.6,526,0,0
/portails-coulissant-sectionnel-a-angle/3068-kit-pour-portail-a-courbe-vantail-principal-rayon-1m-partie-1-sur-2-radius-8016504108090.html,112,76,1.4736842105263157,71.14473684210526,489,0,0
/serrures-pour-portillons-de-jardin/3475-serrure-pour-portillon-de-jardin-en-nylon-locinox-verte-pour-tube-40mm-entraxe-60mm-634065721824.html,112,80,1.4,40.35,561,0,0
/gonds-pour-portails-en-bois/5823-charniere-inferieure-avec-support-de-fixation-du-portail-pivotant-bois.html,111,62,1.7903225806451613,49.16129032258065,522,0,0
/39-cremailleres-portails-coulissant,110,67,1.6417910447761195,41.73134328358209,303,0,0
/331-kits-complets-portails-telescopiques,109,68,1.6029411764705883,21.13235294117647,297,0,0
/443-l-actualite-produits-bricometal,109,17,6.411764705882353,313.1764705882353,327,0,0
/76-serie-900s-6m-de-passage,108,35,3.085714285714286,69.54285714285714,244,0,0
/recuperation-mot-de-passe,106,40,2.65,29.025,297,0,0
/serrures-pour-portillons-de-jardin/3477-serrure-pour-portillon-de-jardin-en-nylon-locinox-noire-pour-tube-40mm-entraxe-60mm-634065720049.html,106,65,1.6307692307692307,55.13846153846154,507,0,0
/58-gonds-a-souder,105,44,2.3863636363636362,50.56818181818182,252,0,0
/427-destockage,104,62,1.6774193548387097,49.54838709677419,269,0,0
/75-serie-800-4m-de-passage,103,60,1.7166666666666666,52.266666666666666,246,0,0
/108-motorisation-portails-coulissants,102,55,1.8545454545454545,47.236363636363635,251,0,0
/content/19-paiement-en-plusieurs-fois-avec-cofidis,101,80,1.2625,13.8875,212,0,0
/82-decoration,100,47,2.127659574468085,29.595744680851062,256,0,0
/26-olives-de-guidage-superieur,96,43,2.2325581395348837,62.627906976744185,218,0,0
/brand/131-pro-2s-telecommandeinfo,96,55,1.7454545454545454,18.963636363636365,315,0,0
/gaches-electriques-et-ventouses/569-gache-electrique-a-encastrer-12v-symetrique-a-emission-a-memoire-decondamnation-avec-tetiere.html,96,69,1.391304347826087,53.47826086956522,495,0,0
/423-verrous-locinox,95,70,1.3571428571428572,18.857142857142858,225,0,0
