Type d'appareil,Coût,Impressions,Clics
Ordinateurs,"10 112,33 €",1 281 924,19 201
Mobiles,"8 701,89 €",2 078 304,40 081
Tablettes,"349,16 €",76 690,1 493
Écrans TV,"0,00 €",0,0
