Nom de la campagne,Valeur de conv.,Valeur de conv. (Comparaison),Valeur de conv./coût,Valeur de conv./coût (Comparaison),Conversions,Conversions (Comparaison)
Pmax BricoMetal,"17 046,68","0,00","4,02","0,00","1 007,43","0,00"
2025 - Shopping - Generale,"25 994,25","30 117,47","2,71","1,96","517,18","434,43"
Shopping FAC,"4 902,81","2 037,20","7,98","2,29","40,95","16,49"
2025 - Search - Locinox,"2 784,59","4 820,58","1,19","1,82","33,66","45,75"
