Nom de la campagne,Nom du groupe de campagnes,État de la campagne,Coût,Clics,Conversions
2025 - Shopping - Generale,,Activé,"9 595,51 €",29 836,"517,18"
Pmax BricoMetal,,Activé,"4 244,46 €",14 894,"1 007,43"
2025 - Search - Produits,,Activé,"2 362,16 €",3 359,"64,78"
2025 - Search - Locinox,,Activé,"2 346,72 €",2 071,"33,66"
Shopping FAC,,Activé,"614,58 €",10 616,"40,95"
