Heure de début,Clics
00 h,236
01 h,119
02 h,96
03 h,92
04 h,112
05 h,172
06 h,953
07 h,1 967
08 h,3 249
09 h,3 900
10 h,4 386
11 h,4 589
12 h,3 872
13 h,3 811
14 h,4 326
15 h,4 269
16 h,4 490
17 h,4 479
18 h,4 522
19 h,3 176
20 h,2 716
21 h,2 588
22 h,1 768
23 h,888
