Tranche d'âge,Impressions,Pourcentage du total connu
18-24,6 976,"9,77 %"
25-34,12 456,"17,45 %"
35-44,13 550,"18,98 %"
45-54,15 732,"22,04 %"
55-64,14 526,"20,35 %"
65 ans et +,8 401,"11,77 %"
