Réseau,Clics,Coût,CPC moy.
Recherche Google,45 152,"14 655,03 €","0,32 €"
Partenaires du réseau de recherche,575,"119,30 €","0,21 €"
Réseau Display,155,"144,64 €","0,93 €"
Multiréseaux,14 894,"4 244,46 €","0,28 €"
